Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
23,872,56,2021-04-16,BRK,,CHO,W 130-115,*,30:17,8,12,.667,3,5,.600,5,7,.714,.792,6,6,1.000,0,3,3,11,0,1,4,3,25,23.9,-5
24,873,57,2021-04-18,BRK,@,MIA,L 107-109,*,04:03,3,3,1.000,2,2,1.000,1,1,1.000,1.333,0,2,.000,0,1,1,0,0,1,0,0,8,7.3,-3
24,,58,2021-04-20,BRK,@,NOP,W 134-129,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,,59,2021-04-21,BRK,@,TOR,L 103-114,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
24,,60,2021-04-23,BRK,,BOS,W 109-104,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
25,874,61,2021-04-25,BRK,,PHO,W 128-119,,28:14,12,21,.571,2,3,.667,10,18,.556,.619,7,8,.875,0,6,6,4,2,1,1,1,33,28.6,11
26,875,62,2021-04-27,BRK,@,TOR,W 116-103,*,32:37,5,7,.714,3,5,.600,2,2,1.000,.929,4,4,1.000,0,10,10,4,2,2,3,1,17,19.9,15
27,876,63,2021-04-29,BRK,@,IND,W 130-113,*,36:21,16,24,.667,2,4,.500,14,20,.700,.708,8,8,1.000,0,3,3,10,1,0,2,3,42,37.3,14
27,,64,2021-04-30,BRK,,POR,L 109-128,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
28,877,65,2021-05-02,BRK,@,MIL,L 114-117,*,39:52,16,33,.485,7,13,.538,9,20,.450,.591,3,4,.750,2,8,10,2,1,0,5,3,42,24.9,-8
29,878,66,2021-05-04,BRK,@,MIL,L 118-124,*,40:12,11,22,.500,4,8,.500,7,14,.500,.591,6,7,.857,0,9,9,6,1,2,3,4,32,25.3,1
30,879,67,2021-05-06,BRK,@,DAL,L 109-113,*,35:52,7,21,.333,0,4,.000,7,17,.412,.333,6,6,1.000,1,8,9,3,1,1,2,4,20,11.4,-2
31,880,68,2021-05-08,BRK,@,DEN,W 125-119,*,40:38,9,14,.643,3,6,.500,6,8,.750,.750,12,13,.923,0,11,11,7,2,2,5,1,33,32.6,1
32,881,69,2021-05-11,BRK,@,CHI,W 115-107,*,31:44,9,13,.692,1,2,.500,8,11,.727,.731,2,3,.667,0,4,4,8,1,3,2,2,21,22.2,7
33,882,70,2021-05-12,BRK,,SAS,W 128-116,*,28:51,4,10,.400,0,4,.000,4,6,.667,.400,6,6,1.000,0,7,7,7,0,3,1,0,14,16.7,9
34,883,71,2021-05-15,BRK,,CHI,W 105-91,*,29:41,4,17,.235,1,6,.167,3,11,.273,.265,3,4,.750,1,8,9,6,0,0,5,1,12,3.2,10
35,884,72,2021-05-16,BRK,,CLE,W 123-109,*,28:55,8,10,.800,1,2,.500,7,8,.875,.850,6,6,1.000,0,8,8,13,0,0,2,2,23,27.9,29
,,,,,,,23-12,32,1157,324,603,.537,85,189,.450,239,414,.577,.608,210,238,.882,13,234,247,195,25,45,120,70,943,21.8,279
